column_name
id
email
password_hash
is_verified
verification_token_hash
reset_password_token
reset_password_expires
facebook_id
google_id
profile
address
is_admin
awaiting_schema
created_at
updated_at
deleted_at
facebook_profile
google_profile
is_vip
is_vip_updated_at
is_vip_updated_by
beta_test_group
is_breeder
is_breeder_updated_at
is_breeder_updated_by
privacy
is_read_only
show_breed_id_new_dogs
how_heard_about_us
how_heard_about_us_at
how_heard_about_us_pet_num
needs_internal_release_notification
updated_by
user_uuid
can_impersonate_as_sub_admin
country_code
marketing_sharing_consent
apple_id
apple_profile
image_url
